"","score_file"
"R06C01-10021445",0.177616
"R07C01-10020659",0.13
"R08C01-10020597",0.065065
"R01C01-10022319",0.178
"R02C01-10021671",0.178
"R03C01-10021843",0.178
"R05C01-10022091",0.178
"R06C01-10014709",0.13
"R03C01-10018976",0.13
"R04C01-10018536",0.178
"R05C01-10018397",0.161
"R06C01-10018241",0.13
"R01C01-10014375",0.13
"R02C01-10014298",0.13
"R03C01-10014312",0.13
"R05C01-10011473",0.11352
"R06C01-10014180",0.13
"R07C01-10011784",0.065455
"R08C01-10014306",0.13
"R02C01-10014932",0.178
"R03C01-10014933",0.178
"R04C01-10014928",0.130096
"R05C01-10014931",0.226
"R06C01-10014762",0.178
"R07C01-10014856",0.065715
"R01C01-10023777",0.178
"R03C01-10024360",0.178
"R04C01-10018862",0.06526
"R06C01-10025239",0.130048
"R08C01-10025342",0.130048
"R01C01-10020494",0.13
"R03C01-10021469",0.178
"R04C01-10021471",0.13
"R05C01-10021470",0.065373
"R06C01-10019328",0.13
"R07C01-10021446",0.130048
"R08C01-10020599",0.13
"R01C01-10013995",0.13
"R02C01-10014006",0.13
"R03C01-10014697",0.06552
"R05C01-10014732",0.13
"R06C01-10014692",0.13
"R08C01-10014939",0.13
"R03C01-10026033",0.13
"R05C01-10029337",0.13
"R06C01-10022711",0.178
"R08C01-10028272",0.178
"R02C01-10003153",0.178
"R03C01-10013446",0.178
"R04C01-10005309",0.178
"R05C01-10011786",0.178
"R07C01-10010317",0.113
"R01C01-10016511",0.178
"R05C01-10018503",0.178
"R06C01-10018310",0.065065
"R07C01-10018509",0.178
"R08C01-10018417",0.13
"R01C01-10018550",0.130048
"R02C01-10018439",0.13
"R03C01-10018133",0.13
"R04C01-10002804",0.13
"R05C01-10007485",0.13
"R06C01-10006465",0.178
"R01C01-10006017",0.13
"R02C01-10007606",0.174976
"R04C01-10003124",0.068315
"R06C01-10013460",0.113065
"R08C01-10003686",0.178
"R01C01-10007585",0.178
"R02C01-10009357",0.177232
"R03C01-10011482",0.066105
"R04C01-10005498",0.13
"R05C01-10014090",0.176224
"R07C01-10007604",0.13
"R08C01-10010291",0.175984
"R01C01-10018543",0.113065
"R02C01-10016505",0.13
"R03C01-10016506",0.178096
"R07C01-10016491",0.134416
